Unnamed: 0.1,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
68,68.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,6501,6501,6501,14 Jan 2017,2017,Jan,14,2017-01-14
69,69.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,6800,6800,6800,06 Jan 2017,2017,Jan,6,2017-01-06
70,70.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,6800,7000,6900,04 Jan 2017,2017,Jan,4,2017-01-04
71,71.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,7000,7100,7050,05 Jan 2017,2017,Jan,5,2017-01-05
72,72.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,7000,7852,7426,26 Sep 2016,2016,Sep,26,2016-09-26
73,73.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,7100,7100,7100,03 Jan 2017,2017,Jan,3,2017-01-03
74,74.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,7187,7187,7187,09 Sep 2016,2016,Sep,9,2016-09-09
75,75.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,7252,7550,7401,02 Sep 2016,2016,Sep,2,2016-09-02
76,76.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,7300,8601,7950,24 Sep 2016,2016,Sep,24,2016-09-24
77,77.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,7301,7301,7301,02 Jan 2017,2017,Jan,2,2017-01-02
78,78.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,7551,7551,7551,05 Sep 2016,2016,Sep,5,2016-09-05
79,79.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,7601,7651,7626,03 Sep 2016,2016,Sep,3,2016-09-03
80,80.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,7670,7690,7680,12 Sep 2016,2016,Sep,12,2016-09-12
81,81.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,7680,7680,7680,10 Sep 2016,2016,Sep,10,2016-09-10
82,82.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,7800,8201,8000,30 Dec 2016,2016,Dec,30,2016-12-30
83,83.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,8000,9601,8800,08 Oct 2016,2016,Oct,8,2016-10-08
84,84.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,8051,8301,8176,17 Sep 2016,2016,Sep,17,2016-09-17
85,85.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,8101,8101,8101,15 Sep 2016,2016,Sep,15,2016-09-15
86,86.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,8101,8500,8300,25 Nov 2016,2016,Nov,25,2016-11-25
87,87.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,8220,8511,8365,27 Dec 2016,2016,Dec,27,2016-12-27
88,88.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,8250,8250,8250,13 Sep 2016,2016,Sep,13,2016-09-13
89,89.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,8299,9001,8650,03 Nov 2016,2016,Nov,3,2016-11-03
90,90.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,8300,8700,8500,09 Dec 2016,2016,Dec,9,2016-12-09
91,91.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,8300,8800,8550,21 Dec 2016,2016,Dec,21,2016-12-21
92,92.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,8300,8850,8575,07 Dec 2016,2016,Dec,7,2016-12-07
93,93.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,8301,8751,8526,08 Dec 2016,2016,Dec,8,2016-12-08
94,94.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,8351,8351,8351,27 Sep 2016,2016,Sep,27,2016-09-27
95,95.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,8360,8360,8360,14 Sep 2016,2016,Sep,14,2016-09-14
96,96.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,8451,9000,8725,22 Dec 2016,2016,Dec,22,2016-12-22
97,97.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,8500,8600,8550,26 Dec 2016,2016,Dec,26,2016-12-26
